has_secondary_education,has_higher_education,work_experience,master_id,rang_id,docs_verified,guarantee,rating,reviews_count,price_socket,discount,cur_score,album_count,photos_count,no_electric_reviews,few_electric_reviews,has_contract,has_insurance,months_on_profi_ru
1,0,7.0,https://profi.ru/profile/GaleevNF/,125.0,1,0,"4,55",11,,,50.49689357142857,0,0,0.0,1.0,0,0,
1,0,25.0,https://profi.ru/profile/GalimomRR/,7.0,0,0,"4,50",18,,,50.6419005,0,8,1.0,0.0,0,0,
0,1,18.0,https://profi.ru/profile/GalimovAA13/,129.0,1,0,"5,0",16,,,50.53912428571429,0,7,0.0,0.0,0,0,
1,0,8.0,https://profi.ru/profile/GalimovRS7/,92.0,1,0,0,0,,,50.7785095,0,6,0.0,0.0,0,0,3.0
0,0,,https://profi.ru/profile/GalimullinNN2/,58.0,1,0,"5,0",17,,,50.80014,0,0,0.0,0.0,0,0,
1,0,7.0,https://profi.ru/profile/GalimullinRR8/,74.0,1,0,"5,0",17,,,50.544675,6,15,0.0,0.0,0,0,
0,0,,https://profi.ru/profile/GaliulinRG3/,59.0,0,0,"5,0",2,,,50.7214325,0,0,0.0,0.0,0,0,5.0
0,0,11.0,https://profi.ru/profile/GaliullinAI7/,137.0,0,0,"5,0",5,,,50.473871,0,0,0.0,1.0,0,0,
0,1,10.0,https://profi.ru/profile/GaliullinDA/,165.0,1,0,0,0,,5.0,50.62915133333333,0,9,0.0,0.0,0,0,
1,0,7.0,https://profi.ru/profile/GaliullinRT4/,143.0,1,0,0,0,,,50.69385,0,0,0.0,0.0,0,0,1.0
1,0,7.0,https://profi.ru/profile/GaliullovRG/,80.0,1,0,0,0,,,50.721985,0,0,0.0,0.0,0,0,4.0
0,1,4.0,https://profi.ru/profile/GaliyevII5/,52.0,1,0,0,0,,,50.8131395,0,3,0.0,0.0,0,0,
0,0,15.0,https://profi.ru/profile/GallyamovIG/,79.0,1,0,"5,0",7,500.0,,50.47737228571429,0,1,0.0,1.0,0,0,29.0
1,0,7.0,https://profi.ru/profile/GallyamovII3/,135.0,1,0,"5,0",1,,,50.74901275,0,0,0.0,0.0,0,0,16.0
0,1,13.0,https://profi.ru/profile/GalumyanAV/,114.0,1,0,"4,95",501,,,50.59001175,6,8,0.0,0.0,0,0,
1,0,7.0,https://profi.ru/profile/GalyaletdinovFF/,149.0,1,0,0,0,,,50.6999,0,8,0.0,0.0,0,0,4.0
1,0,7.0,https://profi.ru/profile/GalyautdinovIN/,158.0,1,0,"5,0",1,,,50.670793333333336,0,0,0.0,0.0,0,0,13.0
1,0,7.0,https://profi.ru/profile/GaniyevII5/,81.0,1,0,0,0,,,50.7980955,0,0,0.0,0.0,0,0,17.0
1,0,5.0,https://profi.ru/profile/GanskiiVV/,94.0,1,0,"5,0",27,,,50.5207774,0,0,0.0,1.0,0,0,68.0
0,0,5.0,https://profi.ru/profile/GarafutdinovRR3/,134.0,1,0,"4,98",41,,,50.48202488888889,6,3,0.0,0.0,0,0,59.0
1,0,5.0,https://profi.ru/profile/GareishinAA2/,132.0,0,0,"5,0",5,,10.0,50.76164416666666,0,12,0.0,0.0,1,0,56.0
0,1,9.0,https://profi.ru/profile/GarifulinE-/,88.0,1,0,"4,96",340,,,50.480551142857145,0,8,0.0,0.0,0,0,
0,1,8.0,https://profi.ru/profile/GarifullinAF9/,76.0,1,0,"5,0",2,,,50.7858435,0,0,0.0,0.0,0,0,
1,0,5.0,https://profi.ru/profile/GarifullinDD/,104.0,1,0,0,0,,,50.682837,0,0,0.0,0.0,0,0,3.0
1,0,8.0,https://profi.ru/profile/GarifullinDY/,131.0,1,0,"5,0",1,,,50.502558,0,0,0.0,0.0,0,0,10.0
1,0,7.0,https://profi.ru/profile/GarifullinRA/,122.0,1,0,"5,0",3,,,50.6836232,0,8,0.0,0.0,0,0,88.0
1,0,7.0,https://profi.ru/profile/GarifullinRI4/,87.0,1,0,0,0,,,50.60343866666667,0,0,0.0,0.0,0,0,14.0
1,0,2.0,https://profi.ru/profile/GaripovIR8/,136.0,1,0,"5,0",2,,,50.55564763636364,0,0,0.0,0.0,0,0,23.0
1,0,7.0,https://profi.ru/profile/GaripovRA4/,114.0,1,0,"5,0",3,,,50.70009675,0,0,0.0,0.0,0,0,85.0
0,0,3.0,https://profi.ru/profile/GaripovRG6/,38.0,1,0,"4,99",394,,,50.542251,0,4,0.0,0.0,0,0,45.0
1,0,8.0,https://profi.ru/profile/GaripovRM5/,127.0,1,0,"5,0",2,,,50.57961909090909,0,0,0.0,0.0,0,0,21.0
1,0,12.0,https://profi.ru/profile/GaripovRR23/,89.0,1,0,"3,67",9,,,50.72342766666666,0,1,0.0,0.0,0,0,69.0
1,0,5.0,https://profi.ru/profile/GaripovRR56/,135.0,1,0,"5,0",2,,,50.7465706,0,0,0.0,0.0,0,0,2.0
